,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,geraldton,-28.77,114.6,78.8,39,0,14.99,AU,1607222860
1,jamestown,42.1,-79.24,30.0,92,90,12.75,US,1607222789
2,bengkulu,-3.8,102.27,84.11,64,100,5.41,ID,1607222860
3,puerto ayora,-0.74,-90.35,71.01,91,75,1.99,EC,1607222860
4,rikitea,-23.12,-134.97,77.43,78,3,15.08,PF,1607222860
5,port alfred,-33.59,26.89,68.09,89,96,16.35,ZA,1607222860
6,busselton,-33.65,115.33,62.01,67,91,1.99,AU,1607222860
7,tuatapere,-46.13,167.68,63.0,62,100,5.01,NZ,1607222861
8,kapaa,22.08,-159.32,80.6,69,40,5.82,US,1607222861
9,ushuaia,-54.8,-68.3,53.6,71,75,9.17,AR,1607222861
10,egvekinot,66.32,-179.17,8.51,94,0,2.06,RU,1607222861
11,waiouru,-39.48,175.67,64.53,40,100,7.65,NZ,1607222861
12,chokurdakh,70.63,147.92,-30.75,81,8,5.68,RU,1607222861
13,luganville,-15.53,167.17,84.2,74,75,8.05,VU,1607222861
14,kavaratti,10.57,72.64,82.89,76,12,13.04,IN,1607222862
15,tuktoyaktuk,69.45,-133.04,-0.4,70,20,12.75,CA,1607222862
16,boden,65.83,21.69,33.8,100,100,3.36,SE,1607222862
17,bereda,43.27,-7.54,37.99,100,78,5.01,ES,1607222862
18,krasnokamensk,50.1,118.04,4.53,90,0,3.98,RU,1607222862
19,rincon,32.3,-81.24,44.6,87,1,2.8,US,1607222862
20,chuy,-33.7,-53.46,51.89,75,24,1.81,UY,1607222862
21,troitskoye,52.98,84.68,6.39,94,100,3.94,RU,1607222862
22,zaysan,47.47,84.87,9.36,90,52,0.56,KZ,1607222863
23,lerwick,60.15,-1.15,42.8,87,99,13.87,GB,1607222863
24,hermanus,-34.42,19.23,64.99,84,100,5.99,ZA,1607222611
25,novosil,52.97,37.04,21.31,79,0,9.64,RU,1607222863
26,beloha,-25.17,45.05,70.93,70,100,10.18,MG,1607222863
27,mahebourg,-20.41,57.7,73.4,88,40,1.12,MU,1607222863
28,ibipeba,-11.64,-42.01,69.01,79,19,3.98,BR,1607222863
29,caluquembe,-13.78,14.68,57.24,96,39,6.31,AO,1607222864
30,punta arenas,-53.15,-70.92,57.0,76,100,16.11,CL,1607222864
31,bluff,-46.6,168.33,63.0,62,100,5.01,NZ,1607222864
32,albany,42.6,-73.97,36.0,61,32,14.0,US,1607222728
33,aanekoski,62.69,25.82,36.0,100,90,8.05,FI,1607222864
34,tasiilaq,65.61,-37.64,24.8,79,100,9.17,GL,1607222864
35,maniitsoq,65.42,-52.9,28.35,97,99,12.75,GL,1607222864
36,pevek,69.7,170.31,7.68,91,100,6.53,RU,1607222865
37,qaanaaq,77.48,-69.36,-9.02,69,100,6.64,GL,1607222865
38,jerome,42.72,-114.52,37.4,40,1,16.11,US,1607222865
39,bredasdorp,-34.53,20.04,62.6,93,100,5.82,ZA,1607222865
40,nikolskoye,59.7,30.79,35.6,92,90,6.71,RU,1607222865
41,mar del plata,-38.0,-57.56,57.0,81,0,4.7,AR,1607222865
42,ribeira grande,38.52,-28.7,58.84,71,95,9.44,PT,1607222865
43,taltal,-25.4,-70.48,60.42,72,13,2.91,CL,1607222866
44,new norfolk,-42.78,147.06,57.0,61,87,8.01,AU,1607222866
45,hamilton,39.18,-84.53,32.0,86,1,2.93,US,1607222866
46,mataura,-46.19,168.86,63.0,62,100,5.01,NZ,1607222866
47,cape town,-33.93,18.42,64.4,68,0,9.17,ZA,1607222578
48,rawson,-43.3,-65.1,65.41,44,16,12.19,AR,1607222866
49,sisimiut,66.94,-53.67,28.58,92,93,12.68,GL,1607222866
50,los llanos de aridane,28.66,-17.92,62.6,82,75,8.05,ES,1607222867
51,nagornskiy,58.77,57.55,12.99,88,97,4.76,RU,1607222867
52,butaritari,3.07,172.79,82.0,77,88,13.02,KI,1607222867
53,batagay,67.63,134.63,-24.2,84,90,3.91,RU,1607222867
54,kyra,49.58,111.98,4.75,74,0,6.49,RU,1607222867
55,saskylakh,71.92,114.08,0.82,92,100,11.1,RU,1607222867
56,buctzotz,21.2,-88.78,72.55,97,47,3.58,MX,1607222867
57,dikson,73.51,80.55,9.45,96,100,6.82,RU,1607222868
58,vammala,61.33,22.9,37.99,100,90,8.05,FI,1607222868
59,lebu,-37.62,-73.65,52.56,92,98,12.24,CL,1607222868
60,thompson,55.74,-97.86,17.6,92,90,2.24,CA,1607222868
61,high level,58.52,-117.14,19.4,100,75,2.24,CA,1607222868
62,isilkul,54.91,71.27,0.46,93,99,5.3,RU,1607222868
63,murakami,38.23,139.48,50.0,81,75,9.17,JP,1607222868
64,kavieng,-2.57,150.8,85.33,64,0,10.56,PG,1607222869
65,kodiak,57.79,-152.41,35.6,64,90,17.22,US,1607222869
66,bathsheba,13.22,-59.52,78.8,78,20,10.29,BB,1607222869
67,kholodnyy,62.72,147.95,-14.78,85,98,2.3,RU,1607222869
68,mandalgovi,45.76,106.27,0.3,86,2,18.59,MN,1607222869
69,hithadhoo,-0.6,73.08,82.36,79,84,19.01,MV,1607222869
70,ca mau,9.18,105.15,80.69,67,83,9.08,VN,1607222661
71,east london,-33.02,27.91,68.25,91,98,10.94,ZA,1607222869
72,khatanga,71.97,102.5,-1.7,91,100,17.34,RU,1607222870
73,georgetown,5.41,100.34,84.2,74,20,4.7,MY,1607222870
74,letlhakeng,-24.09,25.03,65.48,72,98,14.2,BW,1607222870
75,hilo,19.73,-155.09,80.6,65,75,11.41,US,1607222811
76,provideniya,64.38,-173.3,17.13,84,0,5.41,RU,1607222870
77,olafsvik,64.89,-23.71,29.52,98,100,9.06,IS,1607222870
78,carnarvon,-24.87,113.63,84.2,37,72,19.46,AU,1607222870
79,pedernales,18.04,-71.74,76.3,69,0,2.71,DO,1607222870
80,alofi,-19.06,-169.92,84.2,74,100,10.29,NU,1607222871
81,lompoc,34.64,-120.46,53.6,81,1,3.36,US,1607222871
82,vila,42.03,-8.16,37.0,92,35,5.01,PT,1607222871
83,vaini,-21.2,-175.2,80.6,83,90,6.93,TO,1607222871
84,atuona,-9.8,-139.03,78.91,74,1,17.45,PF,1607222871
85,flinders,-34.58,150.86,82.99,36,0,8.99,AU,1607222871
86,barrow,71.29,-156.79,8.6,71,1,18.34,US,1607222871
87,bambous virieux,-20.34,57.76,78.01,88,40,1.12,MU,1607222871
88,aklavik,68.22,-135.01,-2.2,77,2,4.7,CA,1607222872
89,vila franca do campo,37.72,-25.43,53.6,87,40,5.82,PT,1607222872
90,necochea,-38.55,-58.74,50.0,83,0,14.47,AR,1607222872
91,kropotkin,45.44,40.58,27.72,89,27,21.32,RU,1607222872
92,lagoa,39.05,-27.98,59.49,70,83,11.41,PT,1607222872
93,itupiranga,-5.13,-49.33,74.44,92,15,3.2,BR,1607222872
94,vanimo,-2.67,141.3,84.04,76,98,3.18,PG,1607222872
95,lira,2.23,32.91,63.77,90,0,0.67,UG,1607222872
